ngram,deb,end,corpus,count
Three Wishes,1800,2019,eng_us_2019,1
Heat,1800,2019,eng_us_2019,1
Fifty Shades Of Grey,1800,2019,eng_us_2019,1
Fifty Shades Of Grey,1800,2019,eng_us_2019,1
,1800,2019,eng_us_2019,1
,1800,2019,eng_us_2019,1
Three Wishes,1800,2019,eng_us_2019,1
Sense And Sensibility,1800,2019,eng_us_2019,1
Sense And Sensibility,1800,2019,eng_us_2019,1
The Hunger Games,1800,2019,eng_us_2019,1
Fifty Shades Of Grey,1800,2019,eng_us_2019,1
Fifty Shades Of Grey,1800,2019,eng_us_2019,1
Sense And Sensibility,1800,2019,eng_us_2019,1
Three Wishes,1800,2019,eng_us_2019,1
Fifty Shades Of Grey,1800,2019,eng_us_2019,1
Waiting To Exhale,1800,2019,eng_us_2019,1
Waiting To Exhale,1800,2019,eng_us_2019,1
Lucky,1800,2019,eng_us_2019,1
Braveheart,1800,2019,eng_us_2019,1
Friday,1800,2019,eng_us_2019,1
Unforgettable,1800,2019,eng_us_2019,1
Dark Lover,1800,2019,eng_us_2019,1
Waiting To Exhale,1800,2019,eng_us_2019,1
Waiting To Exhale,1800,2019,eng_us_2019,1
Waiting To Exhale,1800,2019,eng_us_2019,1
Le Seigneur Des Anneaux,1800,2019,eng_us_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Heat,1800,2019,eng_us_2019,1
Waiting To Exhale,1800,2019,eng_us_2019,1
Waiting To Exhale,1800,2019,eng_us_2019,1
Three Wishes,1800,2019,eng_us_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Waiting To Exhale,1800,2019,eng_us_2019,1
Waiting To Exhale,1800,2019,eng_us_2019,1
Pride And Prejudice,1800,2019,eng_us_2019,1
Three Wishes,1800,2019,eng_us_2019,1
Waiting To Exhale,1800,2019,eng_us_2019,1
Pride And Prejudice,1800,2019,eng_us_2019,1
Three Wishes,1800,2019,eng_us_2019,1
Three Wishes,1800,2019,eng_us_2019,1
Sense And Sensibility,1800,2019,eng_us_2019,1
Sense And Sensibility,1800,2019,eng_us_2019,1
Fifty Shades Of Grey,1800,2019,eng_us_2019,1
Heat,1800,2019,eng_us_2019,1
Braveheart,1800,2019,eng_us_2019,1
Twilight,1800,2019,eng_us_2019,1
Waiting To Exhale,1800,2019,eng_us_2019,1
Fifty Shades Of Grey,1800,2019,eng_us_2019,1
Three Wishes,1800,2019,eng_us_2019,1
Three Wishes,1800,2019,eng_us_2019,1
Harry Potter,1800,2019,eng_us_2019,1
Harry Potter,1800,2019,eng_us_2019,1
The Lord Of The Rings,1800,2019,eng_us_2019,1
The Lord Of The Rings,1800,2019,eng_us_2019,1
Sense And Sensibility,1800,2019,eng_us_2019,1
Three Wishes,1800,2019,eng_us_2019,1
Le Seigneur Des Anneaux,1800,2019,eng_us_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
The Lord Of The Rings,1800,2019,eng_us_2019,1
Harry Potter,1800,2019,eng_us_2019,1
Le Seigneur Des Anneaux,1800,2019,eng_us_2019,1
Le Seigneur Des Anneaux,1800,2019,eng_us_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Le Seigneur Des Anneaux,1800,2019,fre_2019,1
Heat,1800,2019,eng_us_2019,1
Fifty Shades Of Grey,1800,2019,eng_us_2019,1
Three Wishes,1800,2019,eng_us_2019,1
The Lord Of The Rings,1800,2019,eng_us_2019,1
Harry,1800,2019,eng_us_2019,1
Sense And Sensibility,1800,2019,eng_us_2019,1
The Lord Of The Rings,1800,2019,eng_us_2019,1
,1800,2019,eng_us_2019,1
